PROVINCES,MUNICIPALITIES,TRUCKS & VANS,BUSES,PASSENGER CARS,MOTORCYCLES,INDUSTRIAL TRACTORS,TRAILERS & SEMI-TRAILERS,OTHER VEHICLES,TOTAL,year
Coruña (A),Abegondo,606,0,3515,313,34,76,91,4635,2016
Coruña (A),Ames,1524,1,14263,1053,42,109,155,17147,2016
Coruña (A),Aranga,194,1,1221,70,14,23,34,1557,2016
Coruña (A),Ares,201,0,2728,226,5,19,28,3207,2016
Coruña (A),Arteixo,2827,49,16303,1531,130,253,450,21543,2016
Coruña (A),Arzúa,740,12,3583,217,51,99,100,4802,2016
Coruña (A),"Baña, A",276,57,2246,141,4,15,39,2778,2016
Coruña (A),Bergondo,1070,9,4318,432,97,119,167,6212,2016
Coruña (A),Betanzos,935,50,6818,525,119,165,105,8717,2016
Coruña (A),Boimorto,232,30,1272,61,6,14,53,1668,2016
Coruña (A),Boiro,1588,19,9635,893,67,127,184,12513,2016
Coruña (A),Boqueixón,520,2,2643,273,35,75,115,3663,2016
Coruña (A),Brión,529,10,4151,327,10,58,84,5169,2016
Coruña (A),Cabana de Bergantiños,476,19,2960,215,8,27,78,3783,2016
Coruña (A),Cabanas,358,2,2274,233,21,38,42,2968,2016
Coruña (A),Camariñas,473,6,2689,156,8,26,110,3468,2016
Coruña (A),Cambre,1972,5,12734,1276,71,172,170,16400,2016
Coruña (A),"Capela, A",125,12,881,91,11,41,27,1188,2016
Coruña (A),Carballo,3401,47,18128,1174,220,456,408,23834,2016
Coruña (A),Cariño,265,0,2071,134,11,26,36,2543,2016
Coruña (A),Carnota,224,2,2239,131,8,11,27,2642,2016
Coruña (A),Carral,802,0,3554,308,34,89,99,4886,2016
Coruña (A),Cedeira,609,5,3483,228,19,39,90,4473,2016
Coruña (A),Cee,643,2,3969,262,20,45,83,5024,2016
Coruña (A),Cerceda,632,14,3196,199,35,79,87,4242,2016
Coruña (A),Cerdido,143,0,742,58,4,8,21,976,2016
Coruña (A),Coirós,167,0,1167,133,10,28,25,1530,2016
Coruña (A),Corcubión,104,0,798,56,0,4,19,981,2016
Coruña (A),Coristanco,733,39,3898,224,26,67,108,5095,2016
Coruña (A),Coruña (A) ( municipio sin especificar),9,0,26,1,0,0,0,36,2016
Coruña (A),"Coruña, A",12525,295,111538,10202,465,1391,1046,137462,2016
Coruña (A),Culleredo,2102,81,14838,1465,169,328,145,19128,2016
Coruña (A),Curtis,570,7,2409,183,54,104,80,3407,2016
Coruña (A),Dodro,251,0,1788,182,36,53,28,2338,2016
Coruña (A),Dumbría,356,0,2051,115,23,39,120,2704,2016
Coruña (A),Fene,737,0,7899,748,21,62,93,9560,2016
Coruña (A),Ferrol,3369,149,36912,2577,71,246,314,43638,2016
Coruña (A),Fisterra,255,0,2023,135,10,21,50,2494,2016
Coruña (A),Frades,260,0,1635,82,22,35,43,2077,2016
Coruña (A),Irixoa,139,0,822,84,7,12,27,1091,2016
Coruña (A),"Laracha, A",1177,0,6665,458,34,84,155,8573,2016
Coruña (A),Laxe,282,10,1721,159,11,19,47,2249,2016
Coruña (A),Lousame,334,17,2094,195,9,22,66,2737,2016
Coruña (A),Malpica de Bergantiños,505,15,3133,179,8,25,72,3937,2016
Coruña (A),Mazaricos,446,14,2768,126,30,57,102,3543,2016
Coruña (A),Mañón,120,9,819,72,5,21,19,1065,2016
Coruña (A),Melide,902,30,3960,201,89,150,117,5449,2016
Coruña (A),Mesía,331,8,1830,83,37,52,70,2411,2016
Coruña (A),Miño,402,0,2997,282,9,28,50,3768,2016
Coruña (A),Moeche,125,0,832,54,2,30,23,1066,2016
Coruña (A),Monfero,196,1,1363,130,8,29,46,1773,2016
Coruña (A),Mugardos,253,0,2952,262,13,25,34,3539,2016
Coruña (A),Muros,577,1,4574,395,7,21,67,5642,2016
Coruña (A),Muxía,453,0,2760,186,16,45,89,3549,2016
Coruña (A),Narón,2237,29,20887,1636,243,547,234,25813,2016
Coruña (A),Neda,455,0,3154,282,36,135,56,4118,2016
Coruña (A),Negreira,548,13,3882,242,41,79,66,4871,2016
Coruña (A),Noia,1214,27,7265,662,42,83,96,9389,2016
Coruña (A),Oleiros,2058,0,19963,2275,76,188,149,24709,2016
Coruña (A),Ordes,1202,10,7242,422,78,161,196,9311,2016
Coruña (A),Oroso,583,25,4071,246,121,168,101,5315,2016
Coruña (A),Ortigueira,662,2,3617,253,24,67,108,4733,2016
Coruña (A),Outes,628,0,4148,283,30,66,106,5261,2016
Coruña (A),Oza-Cesuras,487,1,3168,233,38,67,101,4095,2016
Coruña (A),Paderne,262,1,1528,167,21,40,30,2049,2016
Coruña (A),Padrón,1005,30,5121,539,76,150,166,7087,2016
Coruña (A),"Pino, O",425,14,2887,171,45,71,66,3679,2016
Coruña (A),"Pobra do Caramiñal, A",628,8,4883,389,26,43,76,6053,2016
Coruña (A),Ponteceso,528,12,3375,191,28,50,110,4294,2016
Coruña (A),Pontedeume,518,0,4484,275,16,38,76,5407,2016
Coruña (A),"Pontes de García Rodríguez, As",1185,19,7341,542,163,317,212,9779,2016
Coruña (A),Porto do Son,658,0,4986,448,20,43,96,6251,2016
Coruña (A),Rianxo,886,19,6052,495,41,83,88,7664,2016
Coruña (A),Ribeira,1680,38,11799,946,43,161,210,14877,2016
Coruña (A),Rois,462,9,2848,251,34,75,72,3751,2016
Coruña (A),Sada,1059,14,8064,884,101,142,125,10389,2016
Coruña (A),San Sadurniño,295,0,2032,144,17,48,38,2574,2016
Coruña (A),Santa Comba,981,14,5941,337,57,115,211,7656,2016
Coruña (A),Santiago de Compostela,8015,176,49407,3513,310,669,702,62792,2016
Coruña (A),Santiso,181,5,1112,75,13,21,29,1436,2016
Coruña (A),Sobrado,233,6,1099,66,21,46,56,1527,2016
Coruña (A),"Somozas, As",137,2,786,55,8,27,31,1046,2016
Coruña (A),Teo,1514,20,11214,1023,79,206,172,14228,2016
Coruña (A),Toques,158,7,699,36,6,23,20,949,2016
Coruña (A),Tordoia,337,0,2538,195,13,36,75,3194,2016
Coruña (A),Touro,422,0,2510,218,62,86,97,3395,2016
Coruña (A),Trazo,291,0,2140,185,39,52,47,2754,2016
Coruña (A),Val do Dubra,394,0,2595,198,26,52,62,3327,2016
Coruña (A),Valdoviño,460,0,3784,297,14,51,92,4698,2016
Coruña (A),Vedra,596,11,3257,299,93,138,74,4468,2016
Coruña (A),Vilarmaior,88,1,839,109,3,9,17,1066,2016
Coruña (A),Vilasantar,176,7,847,44,3,11,26,1114,2016
Coruña (A),Vimianzo,990,27,4392,263,42,116,221,6051,2016
Coruña (A),Zas,558,31,3170,242,28,54,87,4170,2016
Coruña (A),Total provincia,84241,1608,597015,48627,4453,9741,10535,756220,2016
Coruña (A),Abegondo,620,0,3592,321,36,85,103,4757,2017
Coruña (A),Ames,1592,2,14863,1117,49,123,170,17916,2017
Coruña (A),Aranga,206,1,1239,74,14,28,33,1595,2017
Coruña (A),Ares,208,0,2791,239,4,18,33,3293,2017
Coruña (A),Arteixo,2870,48,16766,1562,141,261,443,22091,2017
Coruña (A),Arzúa,752,11,3608,220,57,102,107,4857,2017
Coruña (A),"Baña, A",276,4,2272,146,4,16,45,2763,2017
Coruña (A),Bergondo,1077,10,4453,448,117,143,173,6421,2017
Coruña (A),Betanzos,937,52,6937,566,128,174,112,8906,2017
Coruña (A),Boimorto,240,27,1286,62,6,16,53,1690,2017
Coruña (A),Boiro,1583,20,9867,947,74,146,188,12825,2017
Coruña (A),Boqueixón,519,2,2667,280,36,75,118,3697,2017
Coruña (A),Brión,536,11,4289,329,10,59,92,5326,2017
Coruña (A),Cabana de Bergantiños,471,21,3011,219,6,28,80,3836,2017
Coruña (A),Cabanas,370,2,2365,239,22,40,44,3082,2017
Coruña (A),Camariñas,478,5,2740,160,9,29,108,3529,2017
Coruña (A),Cambre,1962,5,13138,1341,72,172,176,16866,2017
Coruña (A),"Capela, A",126,13,861,98,5,33,27,1163,2017
Coruña (A),Carballo,3520,48,18629,1261,223,476,437,24594,2017
Coruña (A),Cariño,269,0,2089,142,11,27,33,2571,2017
Coruña (A),Carnota,237,2,2263,144,9,15,30,2700,2017
Coruña (A),Carral,806,1,3661,324,37,89,102,5020,2017
Coruña (A),Cedeira,600,5,3510,235,21,39,89,4499,2017
Coruña (A),Cee,649,2,4036,281,24,46,84,5122,2017
Coruña (A),Cerceda,636,15,3253,208,39,114,86,4351,2017
Coruña (A),Cerdido,138,0,754,49,5,9,22,977,2017
Coruña (A),Coirós,179,0,1173,139,18,34,28,1571,2017
Coruña (A),Corcubión,102,0,816,53,0,4,16,991,2017
Coruña (A),Coristanco,724,39,3936,224,33,66,109,5131,2017
Coruña (A),Coruña (A) ( municipio sin especificar),9,0,24,1,0,0,0,34,2017
Coruña (A),"Coruña, A",12555,368,112116,10440,496,1414,1110,138499,2017
Coruña (A),Culleredo,2190,81,15281,1487,162,361,166,19728,2017
Coruña (A),Curtis,588,7,2452,180,59,99,84,3469,2017
Coruña (A),Dodro,251,0,1799,190,35,49,29,2353,2017
Coruña (A),Dumbría,363,0,2147,125,26,50,118,2829,2017
Coruña (A),Fene,749,0,8009,768,19,61,87,9693,2017
Coruña (A),Ferrol,3336,144,37246,2623,65,244,322,43980,2017
Coruña (A),Fisterra,249,0,2083,131,11,19,53,2546,2017
Coruña (A),Frades,269,0,1646,84,23,37,49,2108,2017
Coruña (A),Irixoa,137,0,844,88,7,13,31,1120,2017
Coruña (A),"Laracha, A",1188,1,6810,483,35,91,159,8767,2017
Coruña (A),Laxe,284,11,1758,176,12,16,46,2303,2017
Coruña (A),Lousame,348,16,2138,204,16,29,69,2820,2017
Coruña (A),Malpica de Bergantiños,494,15,3170,181,11,23,72,3966,2017
Coruña (A),Mazaricos,446,14,2804,118,30,66,103,3581,2017
Coruña (A),Mañón,127,10,833,76,5,22,20,1093,2017
Coruña (A),Melide,914,28,4016,211,90,153,118,5530,2017
Coruña (A),Mesía,325,7,1855,85,36,55,71,2434,2017
Coruña (A),Miño,425,0,3101,292,10,28,51,3907,2017
Coruña (A),Moeche,132,0,856,62,2,31,24,1107,2017
Coruña (A),Monfero,207,1,1361,142,9,33,48,1801,2017
Coruña (A),Mugardos,247,0,3019,268,17,27,37,3615,2017
Coruña (A),Muros,576,1,4615,407,9,20,73,5701,2017
Coruña (A),Muxía,471,0,2795,193,19,44,93,3615,2017
Coruña (A),Narón,2290,32,21362,1704,263,581,235,26467,2017
Coruña (A),Neda,464,0,3175,288,35,131,58,4151,2017
Coruña (A),Negreira,546,14,3970,256,42,81,79,4988,2017
Coruña (A),Noia,1214,31,7406,682,47,82,99,9561,2017
Coruña (A),Oleiros,2085,1,20605,2368,80,178,159,25476,2017
Coruña (A),Ordes,1205,11,7457,426,73,156,203,9531,2017
Coruña (A),Oroso,608,28,4169,242,125,176,105,5453,2017
Coruña (A),Ortigueira,667,2,3646,261,22,68,113,4779,2017
Coruña (A),Outes,639,0,4198,310,35,78,116,5376,2017
Coruña (A),Oza-Cesuras,498,1,3216,240,44,64,108,4171,2017
Coruña (A),Paderne,269,1,1557,171,26,40,31,2095,2017
Coruña (A),Padrón,994,33,5177,555,72,152,166,7149,2017
Coruña (A),"Pino, O",433,14,2942,175,48,76,63,3751,2017
Coruña (A),"Pobra do Caramiñal, A",627,7,5006,424,27,40,82,6213,2017
Coruña (A),Ponteceso,533,12,3387,201,31,58,109,4331,2017
Coruña (A),Pontedeume,515,0,4573,300,19,41,73,5521,2017
Coruña (A),"Pontes de García Rodríguez, As",1173,20,7426,560,187,329,211,9906,2017
Coruña (A),Porto do Son,658,0,5082,471,22,47,100,6380,2017
Coruña (A),Rianxo,860,20,6156,525,45,91,95,7792,2017
Coruña (A),Ribeira,1666,36,12067,995,46,170,213,15193,2017
Coruña (A),Rois,474,9,2890,254,37,75,78,3817,2017
Coruña (A),Sada,1027,14,8314,924,96,148,137,10660,2017
Coruña (A),San Sadurniño,291,0,2077,149,17,48,44,2626,2017
Coruña (A),Santa Comba,1006,14,6010,349,63,119,214,7775,2017
Coruña (A),Santiago de Compostela,8044,178,50351,3643,334,689,730,63969,2017
Coruña (A),Santiso,183,5,1119,74,14,23,31,1449,2017
Coruña (A),Sobrado,226,6,1093,65,28,48,56,1522,2017
Coruña (A),"Somozas, As",141,2,805,58,6,28,32,1072,2017
Coruña (A),Teo,1551,22,11467,1073,80,205,183,14581,2017
Coruña (A),Toques,155,8,716,38,6,23,20,966,2017
Coruña (A),Tordoia,337,0,2530,203,13,35,80,3198,2017
Coruña (A),Touro,433,0,2531,216,58,89,103,3430,2017
Coruña (A),Trazo,292,0,2173,206,46,62,52,2831,2017
Coruña (A),Val do Dubra,424,1,2628,211,39,60,62,3425,2017
Coruña (A),Valdoviño,470,0,3820,299,17,54,91,4751,2017
Coruña (A),Vedra,608,11,3341,321,101,153,84,4619,2017
Coruña (A),Vilarmaior,96,1,875,111,1,10,18,1112,2017
Coruña (A),Vilasantar,197,0,865,48,3,8,30,1151,2017
Coruña (A),Vimianzo,1003,28,4518,277,51,122,230,6229,2017
Coruña (A),Zas,561,31,3216,253,28,58,85,4232,2017
Coruña (A),Total provincia,85026,1643,607559,50369,4741,10148,10952,770438,2017
Coruña (A),Abegondo,624,0,3668,329,38,90,108,4857,2018
Coruña (A),Ames,1641,2,15252,1186,49,124,171,18425,2018
Coruña (A),Aranga,204,1,1257,75,12,29,33,1611,2018
Coruña (A),Ares,208,0,2899,240,6,18,38,3409,2018
Coruña (A),Arteixo,2908,42,17320,1648,136,284,475,22813,2018
Coruña (A),Arzúa,747,13,3684,227,58,108,106,4943,2018
Coruña (A),"Baña, A",282,4,2293,142,3,16,42,2782,2018
Coruña (A),Bergondo,1096,12,4500,463,114,148,175,6508,2018
Coruña (A),Betanzos,931,52,7052,592,136,186,107,9056,2018
Coruña (A),Boimorto,241,24,1302,62,5,16,56,1706,2018
Coruña (A),Boiro,1591,20,10080,983,80,159,173,13086,2018
Coruña (A),Boqueixón,535,2,2743,290,40,77,118,3805,2018
Coruña (A),Brión,533,13,4399,354,12,65,101,5477,2018
Coruña (A),Cabana de Bergantiños,478,23,3012,219,6,29,89,3856,2018
Coruña (A),Cabanas,364,2,2325,243,19,37,48,3038,2018
Coruña (A),Camariñas,482,7,2779,166,11,29,105,3579,2018
Coruña (A),Cambre,2012,7,13515,1412,74,176,182,17378,2018
Coruña (A),"Capela, A",126,13,881,98,7,26,28,1179,2018
Coruña (A),Carballo,3598,48,19213,1313,232,479,440,25323,2018
Coruña (A),Cariño,262,0,2078,150,12,31,34,2567,2018
Coruña (A),Carnota,246,2,2285,151,8,15,34,2741,2018
Coruña (A),Carral,808,1,3834,354,34,84,109,5224,2018
Coruña (A),Cedeira,597,5,3548,248,21,47,93,4559,2018
Coruña (A),Cee,665,2,4132,283,24,48,82,5236,2018
Coruña (A),Cerceda,659,13,3275,213,44,121,87,4412,2018
Coruña (A),Cerdido,145,0,763,54,5,10,26,1003,2018
Coruña (A),Coirós,185,0,1210,151,23,37,28,1634,2018
Coruña (A),Corcubión,104,0,834,55,1,5,17,1016,2018
Coruña (A),Coristanco,731,39,3929,235,33,65,112,5144,2018
Coruña (A),Coruña (A) ( municipio sin especificar),9,0,24,1,0,0,0,34,2018
Coruña (A),"Coruña, A",12582,377,112956,10690,506,1374,1145,139630,2018
Coruña (A),Culleredo,2230,83,15713,1548,157,394,171,20296,2018
Coruña (A),Curtis,585,7,2505,179,62,114,88,3540,2018
Coruña (A),Dodro,255,2,1828,197,39,50,29,2400,2018
Coruña (A),Dumbría,375,0,2160,124,29,56,118,2862,2018
Coruña (A),Fene,737,0,8124,790,17,60,87,9815,2018
Coruña (A),Ferrol,3308,149,37478,2699,59,258,343,44294,2018
Coruña (A),Fisterra,252,0,2128,136,11,22,53,2602,2018
Coruña (A),Frades,270,0,1676,93,28,62,58,2187,2018
Coruña (A),Irixoa,137,0,871,96,7,15,31,1157,2018
Coruña (A),"Laracha, A",1226,1,6974,524,36,94,164,9019,2018
Coruña (A),Laxe,285,9,1793,178,13,17,47,2342,2018
Coruña (A),Lousame,361,18,2179,208,14,34,74,2888,2018
Coruña (A),Malpica de Bergantiños,492,16,3159,181,13,26,71,3958,2018
Coruña (A),Mazaricos,462,14,2858,113,34,62,109,3652,2018
Coruña (A),Mañón,136,10,840,74,6,24,19,1109,2018
Coruña (A),Melide,952,27,4094,213,95,156,116,5653,2018
Coruña (A),Mesía,330,7,1857,99,36,57,71,2457,2018
Coruña (A),Miño,422,0,3206,306,15,28,56,4033,2018
Coruña (A),Moeche,131,0,876,62,1,31,23,1124,2018
Coruña (A),Monfero,208,1,1393,152,9,34,49,1846,2018
Coruña (A),Mugardos,253,0,3059,285,18,23,37,3675,2018
Coruña (A),Muros,579,1,4680,413,9,20,78,5780,2018
Coruña (A),Muxía,471,0,2875,203,20,45,94,3708,2018
Coruña (A),Narón,2340,30,21920,1768,279,602,261,27200,2018
Coruña (A),Neda,477,0,3224,294,37,133,64,4229,2018
Coruña (A),Negreira,549,15,4072,262,44,78,85,5105,2018
Coruña (A),Noia,1237,30,7547,723,48,89,105,9779,2018
Coruña (A),Oleiros,2112,1,20991,2496,82,166,182,26030,2018
Coruña (A),Ordes,1247,12,7648,449,77,164,214,9811,2018
Coruña (A),Oroso,621,28,4261,264,132,192,107,5605,2018
Coruña (A),Ortigueira,662,2,3687,260,21,70,110,4812,2018
Coruña (A),Outes,649,0,4225,331,47,78,116,5446,2018
Coruña (A),Oza-Cesuras,507,1,3298,260,53,66,123,4308,2018
Coruña (A),Paderne,270,1,1572,178,26,45,32,2124,2018
Coruña (A),Padrón,1013,34,5334,569,76,155,173,7354,2018
Coruña (A),"Pino, O",431,14,3003,181,42,71,73,3815,2018
Coruña (A),"Pobra do Caramiñal, A",620,6,5112,433,27,45,75,6318,2018
Coruña (A),Ponteceso,544,12,3432,199,29,57,106,4379,2018
Coruña (A),Pontedeume,512,0,4624,303,21,46,74,5580,2018
Coruña (A),"Pontes de García Rodríguez, As",1192,20,7514,579,210,352,211,10078,2018
Coruña (A),Porto do Son,676,0,5181,506,20,49,102,6534,2018
Coruña (A),Rianxo,846,17,6277,541,58,104,108,7951,2018
Coruña (A),Ribeira,1692,39,12338,1063,53,173,210,15568,2018
Coruña (A),Rois,458,9,2952,270,36,78,83,3886,2018
Coruña (A),Sada,1014,17,8702,1006,98,159,140,11136,2018
Coruña (A),San Sadurniño,304,0,2106,158,21,55,44,2688,2018
Coruña (A),Santa Comba,1043,13,6160,350,69,129,225,7989,2018
Coruña (A),Santiago de Compostela,8076,177,51331,3780,356,734,747,65201,2018
Coruña (A),Santiso,195,5,1135,81,16,23,34,1489,2018
Coruña (A),Sobrado,228,6,1109,69,33,52,57,1554,2018
Coruña (A),"Somozas, As",142,2,806,65,7,30,29,1081,2018
Coruña (A),Teo,1571,20,11806,1107,80,205,200,14989,2018
Coruña (A),Toques,161,9,722,43,6,24,23,988,2018
Coruña (A),Tordoia,348,0,2550,208,13,34,87,3240,2018
Coruña (A),Touro,445,0,2573,216,59,92,103,3488,2018
Coruña (A),Trazo,296,0,2214,208,51,66,51,2886,2018
Coruña (A),Val do Dubra,439,1,2678,218,42,64,65,3507,2018
Coruña (A),Valdoviño,480,0,3896,301,21,53,101,4852,2018
Coruña (A),Vedra,624,11,3410,351,110,163,87,4756,2018
Coruña (A),Vilarmaior,106,1,886,114,1,12,21,1141,2018
Coruña (A),Vilasantar,217,0,871,53,2,9,29,1181,2018
Coruña (A),Vimianzo,1033,29,4581,295,55,129,238,6360,2018
Coruña (A),Zas,561,30,3240,249,24,54,91,4249,2018
Coruña (A),Total provincia,85989,1661,618356,52301,4959,10515,11334,785115,2018
